year,value,category,type
2010-11,2.8,Lamb,Land Use (m²)
2010-11,0.1,Pork,Land Use (m²)
2010-11,0.4,Poultry,Land Use (m²)
2010-11,0.1,Total fish,Land Use (m²)
2010-11,56.38399636,Beef,Water Use (L)
2010-11,13.79212114,Lamb,Water Use (L)
2010-11,11.32988856,Pork,Water Use (L)
2010-11,20.07120047,Poultry,Water Use (L)
2010-11,59.48198573,Total fish,Water Use (L)
2011-12,35.55995207,Beef,foodpday
2011-12,6.003186114,Lamb,foodpday
2011-12,8.063686367,Pork,foodpday
2011-12,28.89800917,Poultry,foodpday
2011-12,16.15096732,Total fish,foodpday
2011-12,3.538215231,Beef,GHG (kgCO₂eq) 
2011-12,0.238326489,Lamb,GHG (kgCO₂eq) 
2011-12,0.099183342,Pork,GHG (kgCO₂eq) 
2011-12,0.286090291,Poultry,GHG (kgCO₂eq) 
2011-12,0.219653156,Total fish,GHG (kgCO₂eq) 
2011-12,11.59965637,Beef,Land Use (m²)
2011-12,2.2,Lamb,Land Use (m²)
2011-12,0.1,Pork,Land Use (m²)
2011-12,0.4,Poultry,Land Use (m²)
2011-12,0.1,Total fish,Land Use (m²)
2011-12,51.59749045,Beef,Water Use (L)
2011-12,10.82374456,Lamb,Water Use (L)
2011-12,14.48238072,Pork,Water Use (L)
2011-12,19.07268605,Poultry,Water Use (L)
2011-12,59.61322038,Total fish,Water Use (L)
2012-13,36.59259345,Beef,foodpday
2012-13,8.738099329,Lamb,foodpday
2012-13,8.000131701,Pork,foodpday
2012-13,29.41069843,Poultry,foodpday
2012-13,16.75338242,Total fish,foodpday
2012-13,3.640963048,Beef,GHG (kgCO₂eq) 
2012-13,0.346902543,Lamb,GHG (kgCO₂eq) 
2012-13,0.09840162,Pork,GHG (kgCO₂eq) 
2012-13,0.291165914,Poultry,GHG (kgCO₂eq) 
2012-13,0.227846001,Total fish,GHG (kgCO₂eq) 
2012-13,11.93650398,Beef,Land Use (m²)
2012-13,3.2,Lamb,Land Use (m²)
2012-13,0.1,Pork,Land Use (m²)
2012-13,0.4,Poultry,Land Use (m²)
2012-13,0.1,Total fish,Land Use (m²)
2012-13,53.0958531,Beef,Water Use (L)
2012-13,15.75479309,Lamb,Water Use (L)
2012-13,14.36823653,Pork,Water Use (L)
2012-13,19.41106096,Poultry,Water Use (L)
2012-13,61.83673451,Total fish,Water Use (L)
2013-14,35.45181371,Beef,foodpday
2013-14,7.0196069,Lamb,foodpday
2013-14,7.679842865,Pork,foodpday
2013-14,31.02666973,Poultry,foodpday
2013-14,16.2341137,Total fish,foodpday
2013-14,3.527455464,Beef,GHG (kgCO₂eq) 
2013-14,0.278678394,Lamb,GHG (kgCO₂eq) 
2013-14,0.094462067,Pork,GHG (kgCO₂eq) 
2013-14,0.30716403,Poultry,GHG (kgCO₂eq) 
2013-14,0.220783946,Total fish,GHG (kgCO₂eq) 
2013-14,11.56438163,Beef,Land Use (m²)
2013-14,2.6,Lamb,Land Use (m²)
2013-14,0.1,Pork,Land Use (m²)
2013-14,0.4,Poultry,Land Use (m²)
2013-14,0.1,Total fish,Land Use (m²)
2013-14,51.44058169,Beef,Water Use (L)
2013-14,12.65635124,Lamb,Water Use (L)
2013-14,13.79299779,Pork,Water Use (L)
2013-14,20.47760202,Poultry,Water Use (L)
2013-14,59.92011367,Total fish,Water Use (L)
2014-15,35.15934393,Beef,foodpday
2014-15,6.732821138,Lamb,foodpday
2014-15,8.020260568,Pork,foodpday
2014-15,35.01729176,Poultry,foodpday
2014-15,16.08026161,Total fish,foodpday
2014-15,3.498354721,Beef,GHG (kgCO₂eq) 
2014-15,0.267292999,Lamb,GHG (kgCO₂eq) 
2014-15,0.098649205,Pork,GHG (kgCO₂eq) 
2014-15,0.346671188,Poultry,GHG (kgCO₂eq) 
2014-15,0.218691558,Total fish,GHG (kgCO₂eq) 
2014-15,11.46897799,Beef,Land Use (m²)
2014-15,2.5,Lamb,Land Use (m²)
2014-15,0.1,Pork,Land Use (m²)
2014-15,0.4,Poultry,Land Use (m²)
2014-15,0.1,Total fish,Land Use (m²)
2014-15,51.01620804,Beef,Water Use (L)
2014-15,12.13927651,Lamb,Water Use (L)
2014-15,14.40438798,Pork,Water Use (L)
2014-15,23.11141256,Poultry,Water Use (L)
2014-15,59.3522456,Total fish,Water Use (L)
2015-16,35.60702538,Beef,foodpday
2015-16,7.403914337,Lamb,foodpday
2015-16,7.148833434,Pork,foodpday
2015-16,34.11438612,Poultry,foodpday
2015-16,17.01701934,Total fish,foodpday
2015-16,3.542899025,Beef,GHG (kgCO₂eq) 
2015-16,0.293935399,Lamb,GHG (kgCO₂eq) 
2015-16,0.087930651,Pork,GHG (kgCO₂eq) 
2015-16,0.337732423,Poultry,GHG (kgCO₂eq) 
2015-16,0.231431463,Total fish,GHG (kgCO₂eq) 
2015-16,11.61501168,Beef,Land Use (m²)
2015-16,2.7,Lamb,Land Use (m²)
2015-16,0.1,Pork,Land Use (m²)
2015-16,0.4,Poultry,Land Use (m²)
2015-16,0.1,Total fish,Land Use (m²)
2015-16,51.66579383,Beef,Water Use (L)
2015-16,13.34925755,Lamb,Water Use (L)
2015-16,12.83930485,Pork,Water Use (L)
2015-16,22.51549484,Poultry,Water Use (L)
2015-16,62.80981838,Total fish,Water Use (L)
2016-17,35.90122656,Beef,foodpday
2016-17,7.326562266,Lamb,foodpday
2016-17,8.951041142,Pork,foodpday
2016-17,32.81909264,Poultry,foodpday
2016-17,16.02217062,Total fish,foodpday
2016-17,3.572172043,Beef,GHG (kgCO₂eq) 
2016-17,0.290864522,Lamb,GHG (kgCO₂eq) 
2016-17,0.110097806,Pork,GHG (kgCO₂eq) 
2016-17,0.324909017,Poultry,GHG (kgCO₂eq) 
2016-17,0.21790152,Total fish,GHG (kgCO₂eq) 
2016-17,11.7109801,Beef,Land Use (m²)
2016-17,2.7,Lamb,Land Use (m²)
2016-17,0.2,Pork,Land Use (m²)
2016-17,0.4,Poultry,Land Use (m²)
2016-17,0.1,Total fish,Land Use (m²)
2016-17,52.09267974,Beef,Water Use (L)
2016-17,13.20979177,Lamb,Water Use (L)
2016-17,16.07606989,Pork,Water Use (L)
2016-17,21.66060114,Poultry,Water Use (L)
2016-17,59.13783176,Total fish,Water Use (L)
2017-18,36.47330356,Beef,foodpday
2017-18,6.151064921,Lamb,foodpday
2017-18,7.096796828,Pork,foodpday
2017-18,34.30442466,Poultry,foodpday
2017-18,16.61458037,Total fish,foodpday
2017-18,3.629093704,Beef,GHG (kgCO₂eq) 
2017-18,0.244197277,Lamb,GHG (kgCO₂eq) 
2017-18,0.087290601,Pork,GHG (kgCO₂eq) 
2017-18,0.339613804,Poultry,GHG (kgCO₂eq) 
2017-18,0.225958293,Total fish,GHG (kgCO₂eq) 
2017-18,11.89759162,Beef,Land Use (m²)
2017-18,2.3,Lamb,Land Use (m²)
2017-18,0.1,Pork,Land Use (m²)
2017-18,0.4,Poultry,Land Use (m²)
2017-18,0.1,Total fish,Land Use (m²)
2017-18,52.92276347,Beef,Water Use (L)
2017-18,11.09037005,Lamb,Water Use (L)
2017-18,12.7458471,Pork,Water Use (L)
2017-18,22.64092028,Poultry,Water Use (L)
2017-18,61.32441615,Total fish,Water Use (L)
2018-19,32.2757904,Beef,foodpday
2018-19,6.440014132,Lamb,foodpday
2018-19,6.771688453,Pork,foodpday
2018-19,31.70153834,Poultry,foodpday
2018-19,17.09955545,Total fish,foodpday
2018-19,3.211441145,Beef,GHG (kgCO₂eq) 
2018-19,0.255668561,Lamb,GHG (kgCO₂eq) 
2018-19,0.083291768,Pork,GHG (kgCO₂eq) 
2018-19,0.31384523,Poultry,GHG (kgCO₂eq) 
2018-19,0.232553954,Total fish,GHG (kgCO₂eq) 
2018-19,10.52836283,Beef,Land Use (m²)
2018-19,2.4,Lamb,Land Use (m²)
2018-19,0.1,Pork,Land Use (m²)
2018-19,0.4,Poultry,Land Use (m²)
2018-19,0.1,Total fish,Land Use (m²)
2018-19,46.83217187,Beef,Water Use (L)
2018-19,11.61134548,Lamb,Water Use (L)
2018-19,12.16195246,Pork,Water Use (L)
2018-19,20.9230153,Poultry,Water Use (L)
2018-19,63.11445917,Total fish,Water Use (L)
