LOCATION,Country,Commodity,TIME,Value
CHL,Chile,Beef and veal,2002,11.459
CHL,Chile,Beef and veal,2003,15.558
CHL,Chile,Beef and veal,2004,16.395
CHL,Chile,Beef and veal,2005,17.415
CHL,Chile,Beef and veal,2006,15.112
CHL,Chile,Beef and veal,2007,13.834
CHL,Chile,Beef and veal,2008,13.561
CHL,Chile,Beef and veal,2009,11.131
CHL,Chile,Beef and veal,2010,13.998
CHL,Chile,Beef and veal,2011,14.056
CHL,Chile,Beef and veal,2012,14.619
CHL,Chile,Beef and veal,2013,17.051
CHL,Chile,Beef and veal,2014,17.46
CHL,Chile,Beef and veal,2015,17.239
CHL,Chile,Beef and veal,2016,18.536
CHL,Chile,Beef and veal,2017,17.152
CHL,Chile,Beef and veal,2018,18.139
CHL,Chile,Beef and veal,2019,19.271
CHL,Chile,Beef and veal,2020,19.195
CHL,Chile,Beef and veal,2021,19.367
CHL,Chile,Beef and veal,2022,19.532
CHL,Chile,Beef and veal,2023,19.718
CHL,Chile,Beef and veal,2024,19.909
CHL,Chile,Beef and veal,2025,20.093
CHL,Chile,Beef and veal,2026,20.271
CHL,Chile,Beef and veal,2027,20.451
CHL,Chile,Beef and veal,2028,20.634
CHL,Chile,Beef and veal,2029,20.816
CHL,Chile,Beef and veal,2030,20.994
COL,Colombia,Beef and veal,1990,15.541
COL,Colombia,Beef and veal,1991,14.024
COL,Colombia,Beef and veal,1992,11.937
COL,Colombia,Beef and veal,1993,11.993
COL,Colombia,Beef and veal,1994,12.686
COL,Colombia,Beef and veal,1995,13.497
COL,Colombia,Beef and veal,1996,13.815
COL,Colombia,Beef and veal,1997,14.193
COL,Colombia,Beef and veal,1998,13.966
COL,Colombia,Beef and veal,1999,12.867
COL,Colombia,Beef and veal,2000,13.237
COL,Colombia,Beef and veal,2001,12.082
COL,Colombia,Beef and veal,2002,11.554
COL,Colombia,Beef and veal,2003,10.774
COL,Colombia,Beef and veal,2004,11.729
COL,Colombia,Beef and veal,2005,12.849
COL,Colombia,Beef and veal,2006,13.04
COL,Colombia,Beef and veal,2007,12.418
COL,Colombia,Beef and veal,2008,12.082
COL,Colombia,Beef and veal,2009,11.053
COL,Colombia,Beef and veal,2010,11.86
COL,Colombia,Beef and veal,2011,12.548
COL,Colombia,Beef and veal,2012,12.885
COL,Colombia,Beef and veal,2013,12.368
COL,Colombia,Beef and veal,2014,12.431
COL,Colombia,Beef and veal,2015,12.527
COL,Colombia,Beef and veal,2016,11.526
COL,Colombia,Beef and veal,2017,10.729
COL,Colombia,Beef and veal,2018,10.735
COL,Colombia,Beef and veal,2019,10.565
COL,Colombia,Beef and veal,2020,9.65
COL,Colombia,Beef and veal,2021,9.37
COL,Colombia,Beef and veal,2022,9.27
COL,Colombia,Beef and veal,2023,9.289
COL,Colombia,Beef and veal,2024,9.315
COL,Colombia,Beef and veal,2025,9.276
COL,Colombia,Beef and veal,2026,9.19
COL,Colombia,Beef and veal,2027,9.119
COL,Colombia,Beef and veal,2028,9.06
COL,Colombia,Beef and veal,2029,8.987
COL,Colombia,Beef and veal,2030,8.905
EUN,European Union,Beef and veal,1990,13.835
EUN,European Union,Beef and veal,1991,13.859
EUN,European Union,Beef and veal,1992,13.566
EUN,European Union,Beef and veal,1993,13.421
EUN,European Union,Beef and veal,1994,12.734
EUN,European Union,Beef and veal,1995,12.395
EUN,European Union,Beef and veal,1996,12.263
EUN,European Union,Beef and veal,1997,11.834
EUN,European Union,Beef and veal,1998,11.932
EUN,European Union,Beef and veal,1999,11.598
EUN,European Union,Beef and veal,2000,12.016
EUN,European Union,Beef and veal,2001,11.759
EUN,European Union,Beef and veal,2002,11.999
EUN,European Union,Beef and veal,2003,11.829
EUN,European Union,Beef and veal,2004,12.043
EUN,European Union,Beef and veal,2005,11.951
EUN,European Union,Beef and veal,2006,11.953
EUN,European Union,Beef and veal,2007,11.952
EUN,European Union,Beef and veal,2008,11.467
EUN,European Union,Beef and veal,2009,11.433
EUN,European Union,Beef and veal,2010,11.189
EUN,European Union,Beef and veal,2011,10.894
EUN,European Union,Beef and veal,2012,10.604
EUN,European Union,Beef and veal,2013,10.224
EUN,European Union,Beef and veal,2014,10.315
EUN,European Union,Beef and veal,2015,10.433
EUN,European Union,Beef and veal,2016,10.587
EUN,European Union,Beef and veal,2017,10.542
EUN,European Union,Beef and veal,2018,10.776
EUN,European Union,Beef and veal,2019,10.678
EUN,European Union,Beef and veal,2020,10.449
EUN,European Union,Beef and veal,2021,10.326
EUN,European Union,Beef and veal,2022,10.259
EUN,European Union,Beef and veal,2023,10.198
EUN,European Union,Beef and veal,2024,10.156
EUN,European Union,Beef and veal,2025,10.124
EUN,European Union,Beef and veal,2026,10.086
EUN,European Union,Beef and veal,2027,10.047
EUN,European Union,Beef and veal,2028,10.01
EUN,European Union,Beef and veal,2029,9.97
EUN,European Union,Beef and veal,2030,9.927
GBR,United Kingdom,Beef and veal,1990,12.722
GBR,United Kingdom,Beef and veal,1991,12.987
GBR,United Kingdom,Beef and veal,1992,12.632
GBR,United Kingdom,Beef and veal,1993,10.463
GBR,United Kingdom,Beef and veal,1994,10.359
GBR,United Kingdom,Beef and veal,1995,10.688
GBR,United Kingdom,Beef and veal,1996,9.391
GBR,United Kingdom,Beef and veal,1997,10.326
GBR,United Kingdom,Beef and veal,1998,10.039
GBR,United Kingdom,Beef and veal,1999,10.181
GBR,United Kingdom,Beef and veal,2000,10.602
GBR,United Kingdom,Beef and veal,2001,10.654
GBR,United Kingdom,Beef and veal,2002,11.599
GBR,United Kingdom,Beef and veal,2003,11.749
GBR,United Kingdom,Beef and veal,2004,12.088
GBR,United Kingdom,Beef and veal,2005,12.046
GBR,United Kingdom,Beef and veal,2006,12.308
GBR,United Kingdom,Beef and veal,2007,12.421
GBR,United Kingdom,Beef and veal,2008,11.949
GBR,United Kingdom,Beef and veal,2009,11.389
GBR,United Kingdom,Beef and veal,2010,11.864
GBR,United Kingdom,Beef and veal,2011,11.616
GBR,United Kingdom,Beef and veal,2012,11.281
GBR,United Kingdom,Beef and veal,2013,11.024
GBR,United Kingdom,Beef and veal,2014,11.349
GBR,United Kingdom,Beef and veal,2015,11.633
GBR,United Kingdom,Beef and veal,2016,11.698
GBR,United Kingdom,Beef and veal,2017,11.706
GBR,United Kingdom,Beef and veal,2018,11.734
GBR,United Kingdom,Beef and veal,2019,11.063
GBR,United Kingdom,Beef and veal,2020,11.324
GBR,United Kingdom,Beef and veal,2021,11.484
GBR,United Kingdom,Beef and veal,2022,11.444
GBR,United Kingdom,Beef and veal,2023,11.417
GBR,United Kingdom,Beef and veal,2024,11.404
GBR,United Kingdom,Beef and veal,2025,11.387
GBR,United Kingdom,Beef and veal,2026,11.357
GBR,United Kingdom,Beef and veal,2027,11.314
GBR,United Kingdom,Beef and veal,2028,11.284
GBR,United Kingdom,Beef and veal,2029,11.248
GBR,United Kingdom,Beef and veal,2030,11.209
ISR,Israel,Beef and veal,1990,10.083
ISR,Israel,Beef and veal,1991,12.465
ISR,Israel,Beef and veal,1992,10.213
ISR,Israel,Beef and veal,1993,10.778
ISR,Israel,Beef and veal,1994,14.058
ISR,Israel,Beef and veal,1995,12.489
ISR,Israel,Beef and veal,1996,13.776
ISR,Israel,Beef and veal,1997,14.6
ISR,Israel,Beef and veal,1998,13.817
ISR,Israel,Beef and veal,1999,13.622
ISR,Israel,Beef and veal,2000,16.739
ISR,Israel,Beef and veal,2001,15.347
ISR,Israel,Beef and veal,2002,17.988
ISR,Israel,Beef and veal,2003,18.557
ISR,Israel,Beef and veal,2004,9.09
ISR,Israel,Beef and veal,2005,17.074
ISR,Israel,Beef and veal,2006,22.24
ISR,Israel,Beef and veal,2007,19.565
ISR,Israel,Beef and veal,2008,23.715
ISR,Israel,Beef and veal,2009,18.079
ISR,Israel,Beef and veal,2010,19.117
ISR,Israel,Beef and veal,2011,19.872
ISR,Israel,Beef and veal,2012,18.434
ISR,Israel,Beef and veal,2013,23.665
ISR,Israel,Beef and veal,2014,18.941
ISR,Israel,Beef and veal,2015,19.078
ISR,Israel,Beef and veal,2016,20.704
ISR,Israel,Beef and veal,2017,21.297
ISR,Israel,Beef and veal,2018,20.374
ISR,Israel,Beef and veal,2019,23.556
ISR,Israel,Beef and veal,2020,21.73
ISR,Israel,Beef and veal,2021,21.641
ISR,Israel,Beef and veal,2022,21.788
ISR,Israel,Beef and veal,2023,21.94
ISR,Israel,Beef and veal,2024,22.095
ISR,Israel,Beef and veal,2025,22.247
ISR,Israel,Beef and veal,2026,22.396
ISR,Israel,Beef and veal,2027,22.547
ISR,Israel,Beef and veal,2028,22.698
ISR,Israel,Beef and veal,2029,22.85
ISR,Israel,Beef and veal,2030,23
JPN,Japan,Beef and veal,1990,6
JPN,Japan,Beef and veal,1991,6.401
JPN,Japan,Beef and veal,1992,6.65
JPN,Japan,Beef and veal,1993,7.286
JPN,Japan,Beef and veal,1994,8.003
JPN,Japan,Beef and veal,1995,8.408
JPN,Japan,Beef and veal,1996,7.966
JPN,Japan,Beef and veal,1997,8.073
JPN,Japan,Beef and veal,1998,8.186
JPN,Japan,Beef and veal,1999,8.174
JPN,Japan,Beef and veal,2000,8.618
JPN,Japan,Beef and veal,2001,7.03
JPN,Japan,Beef and veal,2002,7.128
JPN,Japan,Beef and veal,2003,6.98
JPN,Japan,Beef and veal,2004,6.962
JPN,Japan,Beef and veal,2005,6.234
JPN,Japan,Beef and veal,2006,6.188
JPN,Japan,Beef and veal,2007,6.38
JPN,Japan,Beef and veal,2008,6.386
JPN,Japan,Beef and veal,2009,6.492
JPN,Japan,Beef and veal,2010,6.707
JPN,Japan,Beef and veal,2011,6.722
JPN,Japan,Beef and veal,2012,6.731
JPN,Japan,Beef and veal,2013,6.727
JPN,Japan,Beef and veal,2014,6.689
JPN,Japan,Beef and veal,2015,6.292
JPN,Japan,Beef and veal,2016,6.873
JPN,Japan,Beef and veal,2017,7.001
JPN,Japan,Beef and veal,2018,7.356
JPN,Japan,Beef and veal,2019,7.458
JPN,Japan,Beef and veal,2020,7.426
JPN,Japan,Beef and veal,2021,7.533
JPN,Japan,Beef and veal,2022,7.541
JPN,Japan,Beef and veal,2023,7.557
JPN,Japan,Beef and veal,2024,7.578
JPN,Japan,Beef and veal,2025,7.594
JPN,Japan,Beef and veal,2026,7.614
JPN,Japan,Beef and veal,2027,7.636
JPN,Japan,Beef and veal,2028,7.659
JPN,Japan,Beef and veal,2029,7.685
JPN,Japan,Beef and veal,2030,7.711
KOR,Korea,Beef and veal,1990,0
KOR,Korea,Beef and veal,1991,5.084
KOR,Korea,Beef and veal,1992,5.668
KOR,Korea,Beef and veal,1993,5.293
KOR,Korea,Beef and veal,1994,5.649
KOR,Korea,Beef and veal,1995,6.483
KOR,Korea,Beef and veal,1996,6.714
KOR,Korea,Beef and veal,1997,7.588
KOR,Korea,Beef and veal,1998,6.808
KOR,Korea,Beef and veal,1999,8.084
KOR,Korea,Beef and veal,2000,8.449
KOR,Korea,Beef and veal,2001,7.322
KOR,Korea,Beef and veal,2002,8.331
KOR,Korea,Beef and veal,2003,8.03
KOR,Korea,Beef and veal,2004,6.47
KOR,Korea,Beef and veal,2005,5.976
KOR,Korea,Beef and veal,2006,6.641
KOR,Korea,Beef and veal,2007,7.046
KOR,Korea,Beef and veal,2008,7.191
KOR,Korea,Beef and veal,2009,7.424
KOR,Korea,Beef and veal,2010,7.981
KOR,Korea,Beef and veal,2011,8.819
KOR,Korea,Beef and veal,2012,8.943
KOR,Korea,Beef and veal,2013,9.337
KOR,Korea,Beef and veal,2014,9.871
KOR,Korea,Beef and veal,2015,10.008
KOR,Korea,Beef and veal,2016,10.019
KOR,Korea,Beef and veal,2017,10.441
KOR,Korea,Beef and veal,2018,10.885
KOR,Korea,Beef and veal,2019,11.474
KOR,Korea,Beef and veal,2020,11.313
KOR,Korea,Beef and veal,2021,11.59
KOR,Korea,Beef and veal,2022,11.969
KOR,Korea,Beef and veal,2023,12.029
KOR,Korea,Beef and veal,2024,12.096
KOR,Korea,Beef and veal,2025,12.162
KOR,Korea,Beef and veal,2026,12.234
KOR,Korea,Beef and veal,2027,12.282
KOR,Korea,Beef and veal,2028,12.345
KOR,Korea,Beef and veal,2029,12.409
KOR,Korea,Beef and veal,2030,12.487
MEX,Mexico,Beef and veal,1990,7.384
MEX,Mexico,Beef and veal,1991,8.976
MEX,Mexico,Beef and veal,1992,9.367
MEX,Mexico,Beef and veal,1993,8.495
MEX,Mexico,Beef and veal,1994,9.978
MEX,Mexico,Beef and veal,1995,8.551
MEX,Mexico,Beef and veal,1996,9.93
MEX,Mexico,Beef and veal,1997,10.191
MEX,Mexico,Beef and veal,1998,10.983
MEX,Mexico,Beef and veal,1999,10.882
MEX,Mexico,Beef and veal,2000,10.79
MEX,Mexico,Beef and veal,2001,11.048
MEX,Mexico,Beef and veal,2002,11.824
MEX,Mexico,Beef and veal,2003,10.955
MEX,Mexico,Beef and veal,2004,10.407
MEX,Mexico,Beef and veal,2005,10.671
MEX,Mexico,Beef and veal,2006,10.01
MEX,Mexico,Beef and veal,2007,10.704
MEX,Mexico,Beef and veal,2008,11.219
MEX,Mexico,Beef and veal,2009,10.553
MEX,Mexico,Beef and veal,2010,9.966
MEX,Mexico,Beef and veal,2011,9.056
MEX,Mexico,Beef and veal,2012,9.055
MEX,Mexico,Beef and veal,2013,9.023
MEX,Mexico,Beef and veal,2014,8.911
MEX,Mexico,Beef and veal,2015,8.913
MEX,Mexico,Beef and veal,2016,9.134
MEX,Mexico,Beef and veal,2017,9.162
MEX,Mexico,Beef and veal,2018,9.243
MEX,Mexico,Beef and veal,2019,9.167
MEX,Mexico,Beef and veal,2020,9.021
MEX,Mexico,Beef and veal,2021,8.931
MEX,Mexico,Beef and veal,2022,8.898
MEX,Mexico,Beef and veal,2023,8.93
MEX,Mexico,Beef and veal,2024,8.993
MEX,Mexico,Beef and veal,2025,8.969
MEX,Mexico,Beef and veal,2026,8.989
MEX,Mexico,Beef and veal,2027,8.962
MEX,Mexico,Beef and veal,2028,8.931
MEX,Mexico,Beef and veal,2029,8.89
MEX,Mexico,Beef and veal,2030,8.865
NOR,Norway,Beef and veal,1990,12.641
NOR,Norway,Beef and veal,1991,12.975
NOR,Norway,Beef and veal,1992,13.141
NOR,Norway,Beef and veal,1993,13.379
NOR,Norway,Beef and veal,1994,14.417
NOR,Norway,Beef and veal,1995,14.104
NOR,Norway,Beef and veal,1996,14.382
NOR,Norway,Beef and veal,1997,14.263
NOR,Norway,Beef and veal,1998,14.585
NOR,Norway,Beef and veal,1999,14.043
NOR,Norway,Beef and veal,2000,14.435
NOR,Norway,Beef and veal,2001,13.897
NOR,Norway,Beef and veal,2002,13.929
NOR,Norway,Beef and veal,2003,14.255
NOR,Norway,Beef and veal,2004,14.426
NOR,Norway,Beef and veal,2005,14.574
NOR,Norway,Beef and veal,2006,13.835
NOR,Norway,Beef and veal,2007,14.074
NOR,Norway,Beef and veal,2008,14.39
NOR,Norway,Beef and veal,2009,13.613
NOR,Norway,Beef and veal,2010,12.996
NOR,Norway,Beef and veal,2011,13.297
NOR,Norway,Beef and veal,2012,13.655
NOR,Norway,Beef and veal,2013,13.773
NOR,Norway,Beef and veal,2014,12.624
NOR,Norway,Beef and veal,2015,14.053
NOR,Norway,Beef and veal,2016,14.061
NOR,Norway,Beef and veal,2017,13.71
NOR,Norway,Beef and veal,2018,12.88
NOR,Norway,Beef and veal,2019,12.756
NOR,Norway,Beef and veal,2020,13.076
NOR,Norway,Beef and veal,2021,13.072
NOR,Norway,Beef and veal,2022,13.077
NOR,Norway,Beef and veal,2023,13.049
NOR,Norway,Beef and veal,2024,12.985
NOR,Norway,Beef and veal,2025,12.924
NOR,Norway,Beef and veal,2026,12.87
NOR,Norway,Beef and veal,2027,12.81
NOR,Norway,Beef and veal,2028,12.756
NOR,Norway,Beef and veal,2029,12.697
NOR,Norway,Beef and veal,2030,12.642
NZL,New Zealand,Beef and veal,1990,26.071
NZL,New Zealand,Beef and veal,1991,24.03
NZL,New Zealand,Beef and veal,1992,24.8
NZL,New Zealand,Beef and veal,1993,24.151
NZL,New Zealand,Beef and veal,1994,21.023
NZL,New Zealand,Beef and veal,1995,28.218
NZL,New Zealand,Beef and veal,1996,29.057
NZL,New Zealand,Beef and veal,1997,25.258
NZL,New Zealand,Beef and veal,1998,21.919
NZL,New Zealand,Beef and veal,1999,23.146
NZL,New Zealand,Beef and veal,2000,23.267
NZL,New Zealand,Beef and veal,2001,21.663
NZL,New Zealand,Beef and veal,2002,20.662
NZL,New Zealand,Beef and veal,2003,19.669
NZL,New Zealand,Beef and veal,2004,20.182
NZL,New Zealand,Beef and veal,2005,18.288
NZL,New Zealand,Beef and veal,2006,18.191
NZL,New Zealand,Beef and veal,2007,18.441
NZL,New Zealand,Beef and veal,2008,18.507
NZL,New Zealand,Beef and veal,2009,17.779
NZL,New Zealand,Beef and veal,2010,17.165
NZL,New Zealand,Beef and veal,2011,16.522
NZL,New Zealand,Beef and veal,2012,15.779
NZL,New Zealand,Beef and veal,2013,15.883
NZL,New Zealand,Beef and veal,2014,15.402
NZL,New Zealand,Beef and veal,2015,13.864
NZL,New Zealand,Beef and veal,2016,12.519
NZL,New Zealand,Beef and veal,2017,12.109
NZL,New Zealand,Beef and veal,2018,11.889
NZL,New Zealand,Beef and veal,2019,11.349
NZL,New Zealand,Beef and veal,2020,10.496
NZL,New Zealand,Beef and veal,2021,10.316
NZL,New Zealand,Beef and veal,2022,10.561
NZL,New Zealand,Beef and veal,2023,10.343
NZL,New Zealand,Beef and veal,2024,10.069
NZL,New Zealand,Beef and veal,2025,9.773
NZL,New Zealand,Beef and veal,2026,9.51
NZL,New Zealand,Beef and veal,2027,9.27
NZL,New Zealand,Beef and veal,2028,9.038
NZL,New Zealand,Beef and veal,2029,8.812
NZL,New Zealand,Beef and veal,2030,8.595
CHE,Switzerland,Beef and veal,1990,18.429
CHE,Switzerland,Beef and veal,1991,18.64
CHE,Switzerland,Beef and veal,1992,18.322
CHE,Switzerland,Beef and veal,1993,17.596
CHE,Switzerland,Beef and veal,1994,16.097
CHE,Switzerland,Beef and veal,1995,15.932
CHE,Switzerland,Beef and veal,1996,15.768
CHE,Switzerland,Beef and veal,1997,15.895
CHE,Switzerland,Beef and veal,1998,15.861
CHE,Switzerland,Beef and veal,1999,15.709
CHE,Switzerland,Beef and veal,2000,14.586
CHE,Switzerland,Beef and veal,2001,14.387
CHE,Switzerland,Beef and veal,2002,14.445
CHE,Switzerland,Beef and veal,2003,14.303
CHE,Switzerland,Beef and veal,2004,14.257
CHE,Switzerland,Beef and veal,2005,14.362
CHE,Switzerland,Beef and veal,2006,14.712
CHE,Switzerland,Beef and veal,2007,14.38
CHE,Switzerland,Beef and veal,2008,14.91
CHE,Switzerland,Beef and veal,2009,14.696
CHE,Switzerland,Beef and veal,2010,14.96
CHE,Switzerland,Beef and veal,2011,15.125
CHE,Switzerland,Beef and veal,2012,14.74
CHE,Switzerland,Beef and veal,2013,15.024
CHE,Switzerland,Beef and veal,2014,14.872
CHE,Switzerland,Beef and veal,2015,14.471
CHE,Switzerland,Beef and veal,2016,14.4
CHE,Switzerland,Beef and veal,2017,14.007
CHE,Switzerland,Beef and veal,2018,14.279
CHE,Switzerland,Beef and veal,2019,14.086
CHE,Switzerland,Beef and veal,2020,13.678
CHE,Switzerland,Beef and veal,2021,13.335
CHE,Switzerland,Beef and veal,2022,13.219
CHE,Switzerland,Beef and veal,2023,13.107
CHE,Switzerland,Beef and veal,2024,13.016
CHE,Switzerland,Beef and veal,2025,12.929
CHE,Switzerland,Beef and veal,2026,12.832
CHE,Switzerland,Beef and veal,2027,12.735
CHE,Switzerland,Beef and veal,2028,12.644
CHE,Switzerland,Beef and veal,2029,12.558
CHE,Switzerland,Beef and veal,2030,12.478
USA,United States,Beef and veal,1990,30.673
USA,United States,Beef and veal,1991,30.46
USA,United States,Beef and veal,1992,30.359
USA,United States,Beef and veal,1993,29.718
USA,United States,Beef and veal,1994,30.772
USA,United States,Beef and veal,1995,30.956
USA,United States,Beef and veal,1996,31.05
USA,United States,Beef and veal,1997,30.316
USA,United States,Beef and veal,1998,30.658
USA,United States,Beef and veal,1999,30.972
USA,United States,Beef and veal,2000,31.067
USA,United States,Beef and veal,2001,30.378
USA,United States,Beef and veal,2002,31.038
USA,United States,Beef and veal,2003,29.803
USA,United States,Beef and veal,2004,30.33
USA,United States,Beef and veal,2005,30.049
USA,United States,Beef and veal,2006,30.171
USA,United States,Beef and veal,2007,29.903
USA,United States,Beef and veal,2008,28.71
USA,United States,Beef and veal,2009,28.037
USA,United States,Beef and veal,2010,27.257
USA,United States,Beef and veal,2011,26.262
USA,United States,Beef and veal,2012,26.083
USA,United States,Beef and veal,2013,25.595
USA,United States,Beef and veal,2014,24.627
USA,United States,Beef and veal,2015,24.599
USA,United States,Beef and veal,2016,25.308
USA,United States,Beef and veal,2017,25.939
USA,United States,Beef and veal,2018,26.057
USA,United States,Beef and veal,2019,26.327
USA,United States,Beef and veal,2020,26.411
USA,United States,Beef and veal,2021,25.845
USA,United States,Beef and veal,2022,25.862
USA,United States,Beef and veal,2023,25.969
USA,United States,Beef and veal,2024,26.003
USA,United States,Beef and veal,2025,25.957
USA,United States,Beef and veal,2026,25.941
USA,United States,Beef and veal,2027,25.878
USA,United States,Beef and veal,2028,25.888
USA,United States,Beef and veal,2029,25.898
USA,United States,Beef and veal,2030,25.913
RUS,Russian Federation,Beef and veal,1990,0
RUS,Russian Federation,Beef and veal,1991,0
RUS,Russian Federation,Beef and veal,1992,20.201
RUS,Russian Federation,Beef and veal,1993,18.901
RUS,Russian Federation,Beef and veal,1994,17.954
RUS,Russian Federation,Beef and veal,1995,15.605
RUS,Russian Federation,Beef and veal,1996,15.142
RUS,Russian Federation,Beef and veal,1997,15.255
RUS,Russian Federation,Beef and veal,1998,14.003
RUS,Russian Federation,Beef and veal,1999,11.95
RUS,Russian Federation,Beef and veal,2000,10.265
RUS,Russian Federation,Beef and veal,2001,11.224
RUS,Russian Federation,Beef and veal,2002,11.962
RUS,Russian Federation,Beef and veal,2003,12.219
RUS,Russian Federation,Beef and veal,2004,12.085
RUS,Russian Federation,Beef and veal,2005,12.596
RUS,Russian Federation,Beef and veal,2006,11.923
RUS,Russian Federation,Beef and veal,2007,13.133
RUS,Russian Federation,Beef and veal,2008,14.111
RUS,Russian Federation,Beef and veal,2009,12.778
RUS,Russian Federation,Beef and veal,2010,12.606
RUS,Russian Federation,Beef and veal,2011,13.344
RUS,Russian Federation,Beef and veal,2012,13.723
RUS,Russian Federation,Beef and veal,2013,11.972
RUS,Russian Federation,Beef and veal,2014,11.696
RUS,Russian Federation,Beef and veal,2015,10.585
RUS,Russian Federation,Beef and veal,2016,10.018
RUS,Russian Federation,Beef and veal,2017,9.814
RUS,Russian Federation,Beef and veal,2018,10.251
RUS,Russian Federation,Beef and veal,2019,10.011
RUS,Russian Federation,Beef and veal,2020,9.73
RUS,Russian Federation,Beef and veal,2021,9.581
RUS,Russian Federation,Beef and veal,2022,9.537
RUS,Russian Federation,Beef and veal,2023,9.527
RUS,Russian Federation,Beef and veal,2024,9.525
RUS,Russian Federation,Beef and veal,2025,9.514
RUS,Russian Federation,Beef and veal,2026,9.501
RUS,Russian Federation,Beef and veal,2027,9.492
RUS,Russian Federation,Beef and veal,2028,9.489
RUS,Russian Federation,Beef and veal,2029,9.485
RUS,Russian Federation,Beef and veal,2030,9.478
EGY,Egypt,Beef and veal,1990,5.018
EGY,Egypt,Beef and veal,1991,5.691
EGY,Egypt,Beef and veal,1992,5.568
